"P001,""Indias blancas"", ""Literatura erótica"", ""Florencia Bonelli"", ""2005"","
"P002,""El duelo"",""Autoayuda"", ""Gabriel Rolon"", ""2020"","
"P003,""Lo mucho que te ame"", ""Narrativa"", ""Eduardo Sacheri"", ""2019"","
"P004,""La buena suerte"", ""Ficcion"", ""Rosa Montero"", ""2020"","
"P005,""Rota se camina igual"", ""Indefinido"", ""Lorena Pronsky"", ""2020"","
"P006,""El libro de los abrazos"", ""Latinoamerica"", ""Eduardo Galeano"", ""1989"","
